COMMUNITY0,COMMUNITY1,COMMUNITY2,COMMUNITY3,COMMUNITY4,COMMUNITY5,COMMUNITY6,COMMUNITY7,COMMUNITY8,COMMUNITY9,COMMUNITY10,COMMUNITY11,COMMUNITY12,COMMUNITY13,COMMUNITY14,COMMUNITY15
4932.Q0182,4932.YFL039C,4932.YNL178W,4932.YLL039C,4932.Q0130,4932.YMR105C,4932.YNL031C,4932.YPL178W,4932.YBL076C,4932.YCL029C,4932.YOR272W,4932.YER138W-A,4932.YAR071W,4932.YHL050C,4932.YMR304C-A,4932.YFR035C
4932.Q0143,4932.YFL038C,4932.YJR113C,4932.YIL046W,4932.YJR121W,4932.YMR250W,4932.YBR088C,4932.YER029C,4932.YPL040C,4932.YLR045C,4932.YCL054W,4932.YDR261W-B,4932.YHR215W,4932.YHR218W,4932.YCR013C,4932.YEL043W
4932.Q0032,4932.YLR229C,4932.YGL123W,4932.YOL133W,4932.YOR065W,4932.YCL040W,4932.YAR007C,4932.YMR213W,4932.YOR168W,4932.YEL061C,4932.YMR049C,4932.YJR027W,4932.YML123C,4932.YHL049C,4932.YHR056W-A,4932.YGR089W
4932.Q0017,4932.YFL005W,4932.YJR123W,4932.YDL132W,4932.YBL099W,4932.YNL241C,4932.YDL140C,4932.YKL173W,4932.YGR185C,4932.YPL269W,4932.YGR103W,4932.YDR098C-B,4932.YJR156C,4932.YBL111C,4932.YBL071C,4932.YFR034W-A
4932.Q0010,4932.YAL030W,4932.YHL015W,4932.YDR328C,4932.YMR203W,4932.YML128C,4932.YNL262W,4932.YOR159C,4932.YPR033C,4932.YOL069W,4932.YPL211W,4932.YCR018C-A,4932.YPL214C,4932.YFL066C,4932.YPR136C,None
4932.Q0297,4932.YLR268W,4932.YDR064W,4932.YJR090C,4932.YGL187C,4932.YGR088W,4932.YER095W,4932.YFL017W-A,4932.YPL160W,4932.YDL028C,4932.YDR496C,4932.YLR256W,4932.YGR233C,4932.YLL067C,4932.YMR151W,None
4932.Q0142,4932.YKR031C,4932.YPL131W,4932.YGR232W,4932.YOR232W,4932.YLR178C,4932.YER171W,4932.YLR147C,4932.YPL097W,4932.YJL030W,4932.YNL110C,4932.YDR034C-A,4932.YEL029C,4932.YHR218W-A,4932.YLR163W-A,None
4932.Q0092,4932.YGL206C,4932.YNL081C,4932.YHR200W,4932.YEL024W,4932.YGR248W,4932.YBR160W,4932.YGR074W,4932.YOR335C,4932.YPL018W,4932.YNL061W,4932.YOL106W,4932.YOR143C,4932.YLR462W,4932.YKL165C-A,None
4932.YHR021W-A,4932.YOR327C,4932.YOR063W,4932.YFR004W,4932.YLR259C,4932.YGR043C,4932.YDL164C,4932.YPR182W,4932.YGR264C,4932.YMR117C,4932.YKR081C,4932.YMR158C-A,4932.YBR296C,4932.YHR219W,4932.YAL016C-B,None
None,4932.YPR165W,4932.YOL127W,4932.YKL145W,4932.YNL052W,4932.YOR173W,4932.YML032C,4932.YLR275W,4932.YGR094W,4932.YBR107C,4932.YHR052W,4932.YDR261W-A,4932.YBR093C,4932.YLR466W,4932.YPR044C,None
