COMMUNITY,RANK,DEGREE_NODE,DEGREE_VALUE,EIGENVECTOR_NODE,EIGENVECTOR_VALUE,PAGERANK_NODE,PAGERANK_VALUE
0,1,YKR089C,31,YHR190W,0.23582538322617325,YKR089C,0.012827200452827318
0,2,YHR190W,31,YGR175C,0.22992434407621024,YOR175C,0.012070424522696799
0,3,YOR175C,30,YHR007C,0.2272565341419564,YPR113W,0.011635233922004433
0,4,YHR007C,30,YGR060W,0.2217431967357672,YKL094W,0.010440671402565816
0,5,YNR008W,28,YHR072W,0.2181364483845083,YHR007C,0.010296174721600415
0,6,YGR175C,28,YGL001C,0.21659682926978124,YHR190W,0.010291573406085101
0,7,YGR060W,28,YML126C,0.21316995938752936,YNR008W,0.010021432539341384
0,8,YPR113W,27,YNR043W,0.21057500282727104,YGR175C,0.009508044221593192
0,9,YJL167W,27,YPL028W,0.21011470482950897,YGR060W,0.009499587334631621
0,10,YHR072W,27,YJL167W,0.2091077204416775,YHR072W,0.009438043524334307
1,1,YDL134C,37,YAL016W,0.2359560705483507,YAL016W,0.014521780074338677
1,2,YAL016W,37,YDL134C,0.2354385103270427,YDL047W,0.014041251326561035
1,3,YDL047W,35,YDL047W,0.223594765051008,YDL134C,0.013856418301943223
1,4,YLR433C,34,YPL152W,0.21940560548575386,YLR433C,0.013840639638234516
1,5,YKL190W,34,YGL190C,0.21818230599386512,YKL190W,0.013757013196014632
1,6,YML057W,33,YLR433C,0.21787916836331486,YML057W,0.013672672005968358
1,7,YGL190C,29,YML057W,0.2173697484429723,YML016C,0.011397526197067832
1,8,YPL152W,27,YDR075W,0.21644869166624436,YGL190C,0.011254480771951078
1,9,YML016C,27,YKL190W,0.21282562262472585,YJL129C,0.010932934695951751
1,10,YDR075W,27,YNL201C,0.1987878598787626,YDR040C,0.010709549907151
2,1,YER102W,180,YER102W,0.08865400135891413,YMR116C,0.007221979615189188
2,2,YHL015W,179,YHL015W,0.08834747340548904,YHL015W,0.006922729212798748
2,3,YMR116C,177,YGR118W,0.08824611396584764,YER102W,0.006903416185052434
2,4,YGR118W,177,YML026C,0.08798876141678501,YGR118W,0.006885034907794666
2,5,YOR369C,176,YLR029C,0.08795951776670267,YKL156W,0.006745554225213934
2,6,YOL040C,176,YOR369C,0.08794207478508657,YOL040C,0.006742528616306416
2,7,YML026C,176,YOL040C,0.08782572799884279,YOR369C,0.006738121355944965
2,8,YLR029C,176,YGR027C,0.08768692033848666,YLR029C,0.0066764551687307095
2,9,YOL121C,174,YOL121C,0.08754220750879389,YML026C,0.006664579736873969
2,10,YMR143W,174,YPR102C,0.08751613559113024,YPL131W,0.006645925209541377
3,1,YLR229C,99,YFL039C,0.2750127744435901,YLR229C,0.011945783710999622
3,2,YFL039C,98,YLR229C,0.2421240434584808,YFL039C,0.011381947832126826
3,3,YPR165W,62,YOR181W,0.19079663728717117,YPR165W,0.00813781043716938
3,4,YNL271C,59,YNL271C,0.18413736797963198,YDR477W,0.008080791300457083
3,5,YOR181W,55,YDL029W,0.18261701815480685,YLR113W,0.007546647570957539
3,6,YLR113W,49,YCR088W,0.16663792052267365,YNL271C,0.0067208019995299165
3,7,YHR023W,47,YDR129C,0.15974657036063653,YOR181W,0.006186565754240954
3,8,YDL029W,46,YPR165W,0.15726722639514906,YBL105C,0.005647925688451868
