COMMUNITY,RANK,DEGREE_NODE,DEGREE_VALUE,EIGENVECTOR_NODE,EIGENVECTOR_VALUE,PAGERANK_NODE,PAGERANK_VALUE
0,1,Q0182,8,Q0182,0.3808697915065834,Q0143,0.14319760658301078
0,2,Q0143,8,Q0143,0.3808697915065834,Q0182,0.14199461728854829
0,3,Q0032,7,Q0032,0.365881717264859,Q0017,0.12483769973919633
0,4,Q0017,7,Q0017,0.365881717264859,Q0032,0.12480264845708838
0,5,Q0010,7,Q0010,0.3658817172648589,Q0010,0.12316007433559796
0,6,Q0297,6,Q0297,0.3292962527955064,Q0297,0.1103865735779199
0,7,Q0142,6,Q0142,0.3292962527955064,Q0142,0.10711339380713947
0,8,Q0092,5,Q0092,0.2797522476529814,Q0092,0.08192919316781913
0,9,YHR021W-A,2,YHR021W-A,0.11460692157194256,YHR021W-A,0.04257819304367978
1,1,YFL039C,104,YFL039C,0.27867963780365373,YFL039C,0.01003232822975224
1,2,YLR229C,96,YLR229C,0.24020404406426893,YLR229C,0.009437701965204234
1,3,YPR165W,64,YOR181W,0.18630805201852263,YDR477W,0.007446706999008009
1,4,YNL271C,56,YNL271C,0.18120239396826332,YPR165W,0.006826612885960706
1,5,YOR181W,54,YDL029W,0.1798683818862769,YLR113W,0.006164390619827527
1,6,YLR113W,52,YCR088W,0.1610901601538546,YNL098C,0.005308321985943414
1,7,YDR477W,52,YPR165W,0.15818084666139537,YNL271C,0.005199719154305392
1,8,YNL098C,48,YDR129C,0.15532029201213143,YOR181W,0.005075448847543443
1,9,YHR023W,47,YHR023W,0.15526297105236359,YHR030C,0.00496383244871783
1,10,YDL029W,46,YMR109W,0.1427290048760809,YBL105C,0.004841160623300088
2,1,YNL178W,201,YNL178W,0.08282894045395266,YGL123W,0.006752469585338781
2,2,YDR064W,200,YLR441C,0.0827299408345531,YNL178W,0.006310302814127505
2,3,YLR441C,199,YDR064W,0.08265465601254764,YDR064W,0.006277567656840421
2,4,YJR145C,198,YJR145C,0.08244165351296054,YMR116C,0.006207268067851229
2,5,YJR123W,198,YJR123W,0.08241517947363115,YJR145C,0.006145781625979976
2,6,YGL123W,198,YER102W,0.08227816835730645,YJR123W,0.006120984964372819
2,7,YER102W,197,YGR214W,0.08219513670177492,YLR441C,0.00608938300357248
2,8,YHL015W,196,YOR369C,0.08197148979616933,YGR118W,0.006073987044949025
2,9,YGR214W,196,YHL015W,0.0819707730526839,YHL015W,0.006071430503963512
2,10,YOR369C,195,YOR096W,0.08191287530877801,YER102W,0.006058089715450094
3,1,YLL039C,117,YLL039C,0.14918314986974934,YLL039C,0.012128305617819746
3,2,YDL132W,109,YKR094C,0.14441000465540046,YBR160W,0.011618351157338275
3,3,YKR094C,107,YLR167W,0.14348785274374584,YDL132W,0.01083828560256845
3,4,YOL133W,105,YGR232W,0.142149576897395,YKR094C,0.010753304686385976
3,5,YLR167W,105,YDL132W,0.13708989373580968,YLR167W,0.010459205763900727
3,6,YIL046W,104,YHR200W,0.13439445060089206,YOL133W,0.01024604472977073
3,7,YDR328C,103,YFR004W,0.13421401456713655,YDR328C,0.010228253258931093
3,8,YBR160W,102,YDR328C,0.13396682830938805,YIL046W,0.009969474612304121
3,9,YJR090C,92,YKL145W,0.13115619917890292,YJR090C,0.009044146313884888
3,10,YGR232W,91,YHR027C,0.12947306125654345,YGR108W,0.008476671655749163
4,1,YJR121W,124,YOR065W,0.1832155991173857,YJR121W,0.01010561297001654
4,2,YBL099W,122,YJR121W,0.18140607342655476,YBL099W,0.009973653184670212
4,3,YOR065W,119,YBL099W,0.18063568374811637,YOR065W,0.009949768952327472
4,4,Q0130,114,Q0130,0.17212466422493072,Q0130,0.009420427900405778
4,5,YEL024W,87,YGL187C,0.14672256451246266,YEL024W,0.007508854557041598
4,6,YGL187C,86,YNL052W,0.13363519830271195,YGL187C,0.007190936050666311
4,7,YNR001C,84,YEL024W,0.12856682701924194,YMR203W,0.007106984544101645
4,8,YMR203W,82,YPR191W,0.12172846011348695,YNR001C,0.006907063008480414
4,9,YLR304C,80,YLR304C,0.12093132898082984,YBL045C,0.006828412215412062
4,10,YPR191W,79,YBL045C,0.11345929214069701,YPR191W,0.006653993200433765
5,1,YPR187W,102,YPR187W,0.1553662651710777,YER148W,0.017087451532900214
5,2,YOR210W,101,YBR154C,0.155265264956049,YDL140C,0.016461878155931038
5,3,YBR154C,101,YOR210W,0.15508358544336967,YOR224C,0.016414488465767322
5,4,YER148W,100,YOR224C,0.1539676378896047,YPR187W,0.016106487944210032
5,5,YOR224C,99,YHR143W-A,0.1539215701080457,YBR154C,0.015848910634144793
5,6,YDL140C,99,YDL140C,0.152226802291183,YOR210W,0.015769123161976473
5,7,YHR143W-A,98,YOL005C,0.15026725926347087,YIL021W,0.015619418732327785
5,8,YIL021W,93,YIL021W,0.15006116517691787,YHR143W-A,0.015336598248611848
5,9,YOL005C,90,YJL140W,0.1499730043072072,YDR404C,0.013680422811667214
5,10,YDR404C,90,YDR404C,0.14969113254775726,YOL005C,0.013520783659550069
6,1,YLR335W,49,YLR335W,0.19348966361886627,YLR347C,0.023191949714329866
6,2,YLR347C,48,YOR098C,0.18381916030675316,YLR335W,0.02150492600849469
6,3,YOR098C,43,YMR047C,0.1819972934392144,YIL115C,0.019520844876957308
6,4,YIL115C,43,YIL115C,0.18128842287770183,YMR047C,0.018268497412108963
6,5,YMR047C,42,YBL079W,0.17545622795232632,YGL100W,0.01816715881682187
6,6,YPL169C,40,YKL068W,0.17495368894216481,YOR098C,0.018000803821830256
6,7,YBL079W,40,YGR119C,0.17350819684385968,YPL169C,0.017177279374916164
6,8,YJL041W,39,YDL116W,0.1724440177056273,YBL079W,0.016985484769324585
6,9,YDL207W,39,YJL041W,0.16876830289744893,YJL041W,0.01696356810093395
6,10,YDL116W,39,YFR002W,0.1686729411927326,YNL189W,0.016918139066233562
7,1,YER095W,129,YAR007C,0.15156203798873477,YER095W,0.01129144143774867
7,2,YAR007C,118,YKL113C,0.14564016583759126,YML032C,0.010639273775447248
7,3,YML032C,117,YNL262W,0.14351296017960813,YMR190C,0.010206446621700472
7,4,YKL113C,116,YER095W,0.13984818037557098,YAR007C,0.00984644296465011
7,5,YMR190C,115,YBR088C,0.13880142345615526,YKL113C,0.00966549917763538
7,6,YNL262W,113,YBL023C,0.1371509078939751,YBR088C,0.00957086542605967
7,7,YBR088C,108,YNL102W,0.13606179147189515,YNL262W,0.009414286091450222
7,8,YNL102W,106,YDL164C,0.13439197346675455,YBR136W,0.00924737416548661
7,9,YBR136W,106,YLR274W,0.12988376210107455,YNL102W,0.009072777314747668
7,10,YDL164C,103,YPR019W,0.12824398475303264,YDL164C,0.008866609157829107
8,1,YGL153W,40,YDR265W,0.23183719310113923,YOR175C,0.00950038253715294
8,2,YDR265W,40,YDR244W,0.23105384381296395,YKR089C,0.00939339356727182
8,3,YDR244W,40,YLR191W,0.22815317260057863,YKR031C,0.009362716310648351
8,4,YLR191W,39,YGL153W,0.22488589716413815,YPR113W,0.008651427849123218
8,5,YGL205W,38,YMR026C,0.22020644706873382,YGL153W,0.008037849596224698
8,6,YMR026C,37,YOR180C,0.20638816580138003,YKL094W,0.007606715248093867
8,7,YKR089C,36,YGL205W,0.19138501066188798,YGL205W,0.007338531373970586
8,8,YOR180C,35,YOL147C,0.1858464033471559,YHR007C,0.007330840365395825
8,9,YOR175C,35,YKR009C,0.18487346953029754,YDR244W,0.007212681690766699
8,10,YBR041W,35,YML042W,0.169778553781837,YHR190W,0.007203927324443279
9,1,YBR004C,38,YBL082C,0.22680456848993477,YBR004C,0.017772149785250543
9,2,YJR013W,34,YBR004C,0.20829278719624594,YJR013W,0.016473868945203286
9,3,YBL082C,32,YPR183W,0.20414485088714046,YGL142C,0.015055037052079345
9,4,YPR183W,29,YGR227W,0.20184889399368205,YBL082C,0.015013406377778383
9,5,YGL142C,29,YGL022W,0.20114486962297218,YPR183W,0.013833897901091964
9,6,YGL022W,28,YNR030W,0.19779381548101482,YGL230C,0.01373089199029597
9,7,YPL227C,26,YNL219C,0.19300160086899926,YGL022W,0.013548730616672429
9,8,YNR030W,26,YPL227C,0.1848356276175827,YPL050C,0.013161082931170236
9,9,YNL219C,26,YOR002W,0.17991768047314852,YGR227W,0.012642572110181311
9,10,YGR227W,26,YOR067C,0.176141187239072,YPL227C,0.012384746262446266
10,1,YER029C,100,YER029C,0.14871349267487052,YPL178W,0.011131828588197862
10,2,YLR147C,94,YGR074W,0.14754337133706902,YER029C,0.010737627733648286
10,3,YOR159C,93,YOR159C,0.14754337133706896,YLR147C,0.010063241716713196
10,4,YKL173W,93,YLR147C,0.14712098640233845,YKL173W,0.009799807150557177
10,5,YGR074W,93,YPR182W,0.1460268859943246,YMR213W,0.009549421844594374
10,6,YPR182W,91,YLR275W,0.1456959862309191,YGR074W,0.0094516322848368
10,7,YLR275W,91,YFL017W-A,0.1454678159720309,YOR159C,0.009429790427940829
10,8,YFL017W-A,91,YKL173W,0.1450446079196537,YHR165C,0.009364717877129815
10,9,YPL213W,87,YPL213W,0.14210549673129627,YLR275W,0.00931313778805224
